pl_name,hostname,pl_rade,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_lum,st_mass,st_age,pl_bmasse,pl_dens,pl_insol,pl_orbper,st_rad
14 Her b,14 Her,12.6,0.373,277.86,2.774,5338.0,-0.15273,0.91,3.9,7.8479469585802715,2.0831845279586703,1.2633949433800802,7.476494408101378,0.6575200029167942
24 Sex b,24 Sex,13.4,0.09,606.2,1.333,5098.0,1.164,1.54,2.7,6.451196856489089,0.8919980393051105,3.614722302069935,6.117656572345742,1.7749523509116738
24 Sex c,24 Sex,13.9,0.29,623.266,2.08,5098.0,1.164,1.54,2.7,5.614295308154665,0.4440445900756395,3.4199644277717467,6.784457062637643,1.7749523509116738
47 UMa b,47 UMa,13.2,0.032,257.91,2.1,5872.0,0.1978,1.06,6.48,6.690941651362797,1.0715836162801904,0.4868011758638203,6.983789965258135,0.7945026868638894
47 UMa c,47 UMa,14.2,0.098,227.75,3.6000000000000005,5872.0,0.1978,1.06,6.48,5.151098439846218,0.2844267797311083,0.5100160441581165,7.779885115070522,0.7945026868638894
51 Peg b,51 Peg,14.3,0.013,1252.42,0.0527,5758.0,0.13631,1.03,10.0,4.991804434480881,0.24294617861038947,6.086930156444949,1.6545613624159081,0.777309084989273
55 Cnc B b,55 Cnc B,1.69,0.0,422.68,0.044,3286.0,-2.10811,0.26,10.0,1.5040773967762742,1.6054298910365616,2.241823228345878,2.0540468076598914,0.24216155714997162
55 Cnc B c,55 Cnc B,2.16,0.0,305.03000000000003,0.13,3286.0,-2.10811,0.26,10.0,1.840549633397487,1.358409157630355,0.9813137484747128,3.5480932373488194,0.24216155714997162
55 Cnc b,55 Cnc,13.9,0.0029,700.0,0.118,5198.0,-0.19695,1.015,10.0,5.579648690619366,0.43178241642553783,4.235899754480141,2.750570081398283,0.6830968447064438
55 Cnc c,55 Cnc,8.51,0.088,517.363,0.247,5198.0,-0.19695,1.015,10.0,4.0159108372192165,0.39608794629556743,2.197550217299092,3.8153711259472205,0.6830968447064438
55 Cnc e,55 Cnc,1.875,0.05,1958.0,0.01544,5172.0,-0.19695,0.905,5.5,2.196112848483529,2.0360119837525,7.885642282820736,0.5518988891150869,0.664233170395303
55 Cnc f,55 Cnc,7.59,0.063,336.2,0.8019999999999999,5198.0,-0.19695,1.015,10.0,3.8245460655354697,0.44660705143933954,1.3871968129018373,5.566740164061006,0.6830968447064438
6 Lyn b,6 Lyn,13.4,0.042,403.73,2.0280000000000005,4941.0,1.1186,1.32,2.353,6.3949864911117125,0.8628899551470399,1.8268249335247315,6.825308016014605,1.7817091333745536
61 Vir b,61 Vir,2.11,0.12,1090.0790000000002,0.050201,5577.0,-0.095,0.942,8.96,1.8082887711792655,1.3812818192963463,5.681450043146272,1.6515390884527357,0.674473915294324
61 Vir c,61 Vir,4.46,0.14,533.8399999999999,0.2174999999999999,5577.0,-0.095,0.942,8.96,2.9549102790337356,0.7561219797213337,2.7870023350213446,3.6640999627497135,0.674473915294324
61 Vir d,61 Vir,5.11,0.35,362.2,0.476,5577.0,-0.095,0.942,8.96,3.173878458937465,0.664233170395303,1.760848816490173,4.820362207514681,0.674473915294324
7 CMa b,7 CMa,13.4,0.06,354.12,1.758,4826.0,1.06258,1.34,4.3,6.378401565351955,0.8501509293696101,1.624629077579159,6.60136597906466,1.769854633840005
7 CMa c,7 CMa,13.9,0.08,366.62,2.153,4826.0,1.06258,1.34,4.3,5.625864535839483,0.4485245975686113,2.177252955389545,6.904750769961838,1.769854633840005
70 Vir b,70 Vir,12.6,0.3988,425.466,0.481,5495.0,0.4513,1.09,7.77,7.7754648248494025,2.020222182019865,3.2387498408568645,4.768037054947911,1.0612565021243408
AT2021ueyL b,AT2021ueyL,13.6,0.36893,333.4,4.01,3680.0,-0.07632,0.49,6.5,6.056526521954128,0.6575200029167942,1.4964238340158889,8.335596971501875,0.668536814587228
AU Mic b,AU Mic,3.95677019,0.00577,600.0,0.0649,3678.0,-1.0381,0.51,0.0201,3.050220458838061,0.8415671856782186,3.100092288878234,2.247397911469015,0.5561813254867879
AU Mic c,AU Mic,2.52202066,0.00338,459.0,0.1108,3678.0,-1.0381,0.51,0.0201,2.3608540011180215,0.7975071958841881,2.1162555148025524,2.988692049230347,0.5561813254867879
AU Mic d,AU Mic,1.02,0.00305,807.4,0.102,3678.0,-1.0381,0.51,0.0201,0.7193021380367964,1.864080130807681,4.46454371013691,2.620017211535023,0.5561813254867879
AU Mic e,AU Mic,4.87,0.1557,480.0100000000001,0.102,3665.0,-0.99,0.6000000000000001,0.0185,3.0955776085237074,0.6931471805599453,2.443246228961342,3.5295905964305545,0.598836501088704
BD+05 4868 A b,BD+05 4868 A,2.839553935,0.1241,1820.0,0.0208,4596.0,-0.7167,0.7,11.1,1.9740810260220096,1.269760544863939,6.983187704401351,0.8206028407458883,0.5247285289349821
BD+14 4559 b,BD+14 4559,13.8,0.29,186.19,0.78,4864.0,-0.32,0.49,5.561,5.80375811787751,0.5253200699164432,0.22832861405841168,5.5981997120811355,0.6205764877251099
BD+20 594 b,BD+20 594,2.57807,0.0,546.0,0.241,5766.0,-0.05552,1.6699999999999997,3.34,3.1462234082639617,2.1849270495258133,3.092944443787794,3.753859284110427,0.7323678937132266
BD+45 564 b,BD+45 564,13.6,0.12,448.8,0.83,5004.0,-0.39918,0.81,5.415000000000001,6.071307158271239,0.6647477060382473,2.5696188667659308,5.7329528519559805,0.5950182317563915
BD+55 362 b,BD+55 362,14.0,0.27,438.2,0.78,5012.0,-0.31295,0.909,5.763,5.437367982251224,0.37706563358646644,3.649711168675431,5.58571189766377,0.639848191901194
BD-06 1339 b,BD-06 1339,2.839553935,0.0,949.8,0.0428,4324.0,-1.022,0.7,4.4,7.329115866146081,1.269760544863939,4.716969074086483,1.5836687205401379,0.5225693949481592
BD-06 1339 c,BD-06 1339,8.38,0.31,396.8,0.435,4324.0,-1.022,0.7,4.4,3.9889840465642745,0.40212620684264977,1.6558561144815926,4.843714533878324,0.5225693949481592
BD-08 2823 b,BD-08 2823,2.839553935,0.15,618.2,0.06,4816.0,-0.62597,0.5,4.5,7.989388953863256,1.269760544863939,3.5479724124393677,1.8870696490323797,0.5364933705145685
BD-08 2823 c,BD-08 2823,12.5,0.19,350.29,0.6800000000000002,4746.0,-0.62597,0.74,4.5,4.653960350157523,0.25696509978972043,1.7411780111718624,5.474788509663815,0.5364933705145685
BD-10 3166 b,BD-10 3166,14.1,0.02,1292.6,0.04,5393.0,-0.1912,1.4700000000000002,0.25,5.23920251071117,0.3133498192003587,6.01860747976681,1.5013559191353472,0.6471032420585385
BD-11 4672 b,BD-11 4672,14.1,0.05,526.22,2.36,4550.0,-0.8041,0.651,7.4,5.335562571977939,0.3400373027857091,3.63476167800295,7.399398083331354,0.4940862997616926
BD-11 4672 c,BD-11 4672,4.04,0.4,265.92,0.3,4550.0,-0.8041,0.651,7.4,2.7954503913830435,0.8241754429663495,0.9216429490243803,4.320151230955794,0.4940862997616926
BD-14 3065 b,BD-14 3065 A,21.59,0.066,2001.0,0.0656,6935.0,1.06,1.41,2.24,8.27715777243181,1.1474024528375417,6.473521801158315,1.6656241060433046,1.208960345836975
BD-17 63 b,BD-17 63,12.8,0.5439,195.7,1.34,4714.0,-0.678,0.7410000000000001,4.3,7.403057788293656,1.667706820558076,0.1859017649506751,6.487029314105918,0.5538851132264376
BD-210397 b,BD-210397,14.0,0.1,84.22,2.63,4051.0,-0.86967,0.679,6.2,5.3706380281276624,0.35697489894773027,0.019802627296179712,7.545389749611823,0.5579000311519196
BEBOP-3 b,BEBOP-3,14.2,0.247,614.1,1.444,6033.0,0.38321,1.083,5.184,5.183738105813452,0.29266961396281993,3.3624549440671165,6.306275286948016,0.8812851226753398
Barnard b,Barnard's star,0.72,0.03,438.0,0.0229,3195.0,-2.44977,0.162,4.74,0.2615947376884625,1.6863989535702286,2.048982334195127,1.424119870659871,0.1697427745870945
Barnard c,Barnard's star,0.743,0.08,400.0,0.0274,3195.0,-2.44977,0.162,5.366,0.2889312918522129,1.7029282555214393,1.7971879069592593,1.6340134450001416,0.1697427745870945
Barnard d,Barnard's star,0.694,0.04,483.0,0.0188,3195.0,-2.44977,0.162,5.254,0.23348984336835407,1.6714733033535532,2.3736646853405565,1.20603068543538,0.1697427745870945
Barnard e,Barnard's star,0.637,0.04,340.0,0.0381,3195.0,-2.44977,0.162,6.757000000000001,0.17647114311577897,1.62924053973028,1.3516023195560876,2.0462983230865817,0.1697427745870945
CD Cet b,CD Cet,1.82,0.13491,464.0,0.0185,3130.0,-2.53254,0.161,3.0,1.599387576580599,1.5260563034950494,2.2617630984737906,1.1911003081032612,0.16126814759612226
CI Tau c,CI Tau,13.0,0.58,671.29,0.1699999999999999,3807.0,-0.25458,0.9,0.0025,7.043319086900764,1.3506671834767394,3.743873427254951,3.265759410767051,1.058087819327293
CoRoT-1 b,CoRoT-1,16.7,0.0,1898.0,0.02752,5950.0,0.29793,0.95,1.6,5.794080112636982,0.32208349916911333,7.9563471470255855,0.9198666107915812,0.7466879474879752
CoRoT-10 b,CoRoT-10,10.87,0.53,600.0,0.1055,5075.0,-0.72608,0.89,3.0,6.774223886357614,1.547562508716013,2.8395987959484645,2.6560970399276433,0.5822156198526637
CoRoT-11 b,CoRoT-11,16.03,0.0,1657.0,0.0436,6440.0,0.37753,1.27,2.0,6.608688647663718,0.688134638736401,7.545204214430835,1.384875855516358,0.8628899551470399
CoRoT-12 b,CoRoT-12,16.14,0.07,1442.0,0.04016,5675.0,0.07,1.078,6.3,5.678252678392018,0.34429867287067695,6.495467046210498,1.342353445317352,0.749527513996053
CoRoT-13 b,CoRoT-13,9.92,0.0,1700.0,0.051,5945.0,0.07314,1.09,1.635,6.0323761376143965,1.205970806988609,6.305424377582047,1.616451261307603,0.6981347220709844
CoRoT-14 b,CoRoT-14,12.22,0.0,1952.0,0.027,6035.0,0.11884,1.13,4.2,7.790034108264586,2.1162555148025524,7.792527064383615,0.9211349795370315,0.7929925155296614
CoRoT-16 b,CoRoT-16,13.11,0.33,1048.9,0.0618,5650.0,-0.43496,1.098,6.73,5.141850673498107,0.36464311358790924,5.254394195978362,1.8488122293386968,0.7839015438284094
CoRoT-17 b,CoRoT-17,11.43,0.0,1626.0,0.0461,5740.0,0.13421,1.04,10.7,6.650654139939497,1.3402504226184837,6.87015843357954,1.5619479026974776,0.9516578757114464
CoRoT-18 b,CoRoT-18,14.68,0.08,1550.0,0.0295,5440.0,-0.17,0.95,0.6,7.006532170065747,1.1631508098056809,6.715020775144644,1.0647346332586345,0.6931471805599453
CoRoT-19 b,CoRoT-19,14.46,0.047,2000.0,0.0518,6090.0,0.544,1.21,5.0,5.868675251015361,0.5364933705145685,7.00742774833272,1.5886493192332463,0.9745596399981308
CoRoT-2 b,CoRoT-2,16.432,0.0143,1521.0,0.02798,5625.0,-0.13055,0.96,2.7,7.006532170065747,0.9042181506398859,6.839377503998825,1.009049842284412,0.6450068052320104
CoRoT-21 b,CoRoT-21,14.5717,0.0,2154.864,0.0417,6200.0,0.705,1.29,4.1,6.5782726778461145,0.8586616190375187,8.297307284988511,1.314997050737765,1.0818051703517284
CoRoT-22 b,CoRoT-22,4.88,0.077,885.0,0.092,5939.0,0.01352,1.099,3.3,2.580216829592325,0.22234323114344062,6.398929712698654,2.375461878977593,0.7589349210979484
CoRoT-23 b,CoRoT-23,11.77,0.16,1660.0,0.048,5900.0,0.08678,1.14,7.2,6.792232187726598,1.3862943611198906,6.650517810802221,1.5328376062253037,0.9593502213346021
CoRoT-24 b,CoRoT-24,3.7,0.0,1070.0,0.056,4950.0,-0.60148,0.91,11.0,1.9021075263969205,0.6418538861723948,5.331186822737179,1.8104830832261576,0.6205764877251099
CoRoT-24 c,CoRoT-24,5.0,0.0,850.0,0.098,4950.0,-0.60148,0.91,11.0,3.367295829986474,0.832909122935104,4.490993702072852,2.5462369049396063,0.6205764877251099
CoRoT-25 b,CoRoT-25,12.11,0.0,1330.0,0.0578,6040.0,0.14101,1.09,4.5,4.463721822403716,0.13976194237515868,5.879251701865786,1.7682673440975085,0.7839015438284094
CoRoT-26 b,CoRoT-26,14.12,0.0,1600.0,0.0526,5590.0,0.451,1.09,8.6,5.113552828102942,0.2468600779315258,6.992894082454432,1.6495697488500307,1.0260415958332743
CoRoT-27 b,CoRoT-27,11.287,0.065,1500.0,0.0476,5900.0,-0.16641,1.05,4.21,8.102619727894082,2.6100697927420065,6.752442214291892,1.5206766416366135,0.7323678937132266
CoRoT-28 b,CoRoT-28,10.704595,0.047,1338.753,0.0603,5150.0,0.38849,1.01,12.0,5.042325932392052,0.5247285289349821,6.4747630320464085,1.8259209315684775,1.0224509277025458
CoRoT-29 b,CoRoT-29,10.0881,0.082,1136.6439999999998,0.0386,5260.0,-0.09414,0.97,4.5,5.602692457057012,0.8960880245566356,5.778580254575611,1.3482211892891367,0.6418538861723948
CoRoT-30 b,CoRoT-30,11.309881,0.007,1058.0,0.0844,5650.0,-0.19653,0.98,3.0,6.827311740986859,1.4929040961781488,5.219623100557899,2.3085721348381685,0.6471032420585385
CoRoT-31 b,CoRoT-31,16.36514,0.02,1637.6,0.0586,5700.0,0.39778,1.25,4.7,5.59090190226494,0.2851789422336624,7.220154529706678,1.7280046409230194,1.1474024528375417
CoRoT-32 b,CoRoT-32,6.38913,0.0780999999999999,938.0,0.071,5970.0,-0.1549,1.08,1.1187,3.8851552789918418,0.7419373447293773,4.892302107134391,2.0436032018471457,0.5822156198526637
CoRoT-35 b,CoRoT-35,18.83108758,0.0,1747.0,0.0429,6390.0,0.36247,1.01,6.1,5.859678053261759,0.2546422183735807,7.3114168258397445,1.4416060708509626,0.9745596399981308
CoRoT-36 b,CoRoT-36,15.80466279,0.0,1567.0,0.066,6730.0,0.81257,1.32,2.1,5.3804654721305285,0.22314355131420976,6.582383694572881,1.8895712144765469,0.924258901523332
CoRoT-4 b,CoRoT-4,13.34,0.0,1074.0,0.09,6190.0,0.18482,1.16,1.0,5.437339905196839,0.42199441005937505,5.3227743416219715,2.3225886804885287,0.7747271675523681
CoRoT-5 b,CoRoT-5,15.558,0.09,1438.0,0.04947,6100.0,0.18,1.0,6.9,5.0067611325476555,0.19638881400539013,6.6686028923338,1.616988574304112,0.7820733897543468
CoRoT-6 b,CoRoT-6,13.068,0.1,1017.0,0.0855,6090.0,0.02573,1.05,2.5,6.84772922798644,1.199964782928397,5.299288291427157,2.291179596901307,0.7055697005585024
CoRoT-7 b,CoRoT-7,1.68135,0.0,1756.0,0.017016,5275.0,-0.28938,0.8200000000000001,1.8,1.6246427665438152,2.3374694948475474,7.478909538908878,0.6171251785885016,0.6043159668533296
CoRoT-7 c,CoRoT-7,2.83,0.0,1097.4,0.046,5256.0,-0.28938,0.899,1.8,2.2407096892759584,1.1118575154181303,5.593002098980255,1.547136886236721,0.6228711647667616
CoRoT-7 d,CoRoT-7,4.31,0.0834999999999999,837.4,0.102,5250.0,-0.28938,0.915,1.8,2.898229692192752,0.7793248768009976,4.543475508170825,2.2991792998592127,0.6091675667646704
CoRoT-8 b,CoRoT-8,6.39,0.0,870.0,0.063,5080.0,-0.4,0.8800000000000001,3.0,4.2615524812060075,0.9555114450274365,4.8592677091363425,1.9757865152924847,0.5709795465857378
CoRoT-9 b,CoRoT-9,11.948794,0.133,420.0,0.4021,5625.0,-0.25426,0.96,6.0,5.59090190226494,0.6205764877251099,3.457879416885008,4.5671843324817045,0.6729444732424258
DMPP-1 b,DMPP-1,5.29,0.083,877.0,0.1462,6196.0,0.31955,1.21,2.01,3.229617921400103,0.6423800635062922,4.904184576296441,2.9739977814079848,0.8153648132841945
DMPP-1 c,DMPP-1,3.06,0.057,1239.0,0.0733,6196.0,0.31955,1.21,2.01,2.3608540011180215,1.0438040521731147,5.9486080624734825,2.026040764952721,0.8153648132841945
DMPP-1 d,DMPP-1,1.65,0.07,1632.0,0.0422,6196.0,0.31955,1.21,2.01,1.4701758451005928,1.62924053973028,7.063858501637428,1.3563504847468189,0.8153648132841945
DMPP-1 e,DMPP-1,1.86,0.07,1314.0,0.0651,6196.0,0.31955,1.21,2.01,1.635105659182678,1.5107219394949427,6.404444065191923,1.8742606907397987,0.8153648132841945
DMPP-2 b,DMPP-2,14.3,0.078,1000.0,0.0664,6500.0,0.1038,1.44,2.0,4.940868623303827,0.23190505698278252,5.296374643137994,1.8257099085976025,1.0224509277025458
DMPP-3 A b,DMPP-3 A,1.41,0.14,854.0,0.0662,5138.0,-0.29268,0.87,10.9,1.275362800412609,1.801709800081223,4.700713883973174,2.037733738280046,0.6471032420585385
DMPP-4 b,DMPP-4,3.53,0.063,1567.6,0.04853,6400.0,0.45939,1.25,2.15,2.580216829592325,0.924258901523332,6.973395108788111,1.5036773167549344,0.8671004876833832
DS Tuc A b,DS Tuc A,5.7,0.0,850.0,0.102,5428.0,-0.13966,1.01,0.045,6.02629824753133,1.269760544863939,4.760699343849218,2.212470870791563,0.6749832099322741
EPIC 201170410.02,EPIC 201170410,1.047,0.0,592.2,0.0349,3648.0,-1.9,0.287,4.779999999999999,0.7654678421395714,1.873339456220478,3.242724710447105,2.053957053138447,0.24842135849847827
EPIC 201238110 b,EPIC 201238110,1.87,0.09866,388.3,0.102,3587.0,-1.50834,0.41,3.68,1.6409365794934714,1.5040773967762742,1.6233624256889918,3.3729899325981365,0.3177261938001576
EPIC 201427007 b,EPIC 201427007,1.5,0.04,1478.5,0.102,5633.0,-0.04875,0.9300000000000002,7.784999999999999,1.3506671834767394,1.7334238922150915,6.517844023687822,0.5428532206847394,0.6626879730752367
EPIC 201497682 b,EPIC 201497682,0.692,0.0186,807.2,0.102,4991.0,-0.76627,0.78,6.106,0.23111172096338664,1.6695918352538475,4.49709818841904,1.1415887606341686,0.4408322519454557
EPIC 201595106 b,EPIC 201595106,1.565,0.0,2038.0,0.0177,5679.0,-0.04915,0.958,6.0,2.1598687907924505,2.4932054526026954,7.9561263512135,0.6298026130426639,0.6830968447064438
EPIC 201615463 c,K2-166,1.22,0.0,1337.42,0.102,5960.0,0.45848,1.073,5.574,1.091923300517313,1.9444805562457188,6.560899730691678,1.5695821176591704,0.9593502213346021
EPIC 201754305 d,K2-16,1.03,0.010432,1029.1,0.102,4761.0,-0.76082,0.67,8.218000000000002,0.7323678937132266,1.860974538249528,5.265351316762738,1.3125886157544349,0.4343764516025845
EPIC 201757695.02,EPIC 201757695,0.90819,0.0,1011.98,0.0296,4520.0,-0.36351,0.727,5.707999999999999,0.5235443961737654,1.80005827204275,5.507252165505178,1.1144200188736233,0.5038010088290262
EPIC 201833600 c,K2-50,1.0,0.017,784.7900000000001,0.102,4326.0,-0.87356,0.611,6.098,0.6790482561804436,1.8468787684491346,4.396235980624121,1.6017101298896281,0.49103099643781106
EPIC 201841433 b,EPIC 201841433,1.04,0.0209999999999999,898.82,0.035,5053.0,-0.63455,0.8019999999999999,4.298499999999999,0.7514160886839212,1.8671761085128091,4.850533663206797,1.642834003052529,0.48763539702859293
EPIC 205950854 c,K2-168,1.31,0.0,960.6,0.102,5502.7,-0.17649,0.877,4.129,1.184789984909162,1.8794650496471605,5.06097971057279,2.202844533535184,0.6043159668533296
EPIC 206024342 b,EPIC 206024342,1.7,0.0046,893.8,0.102,5724.0,-0.16992,0.9280000000000002,1.6800000000000004,1.5107219394949427,1.599387576580599,4.94444191254179,1.7061216938701533,0.6004834956965259
EPIC 206024342 c,EPIC 206024342,1.4,0.039,1605.6,0.102,5724.0,-0.16992,0.9280000000000002,6.723000000000001,1.264126727145683,1.8066480817218056,6.908827533670268,0.648005452745099,0.7419373447293773
EPIC 206024342 d,EPIC 206024342,2.6,0.0649,871.6,0.102,5724.0,-0.16992,0.9280000000000002,7.37,2.1126345090356,1.184789984909162,4.679896154411134,2.750313140961905,0.7419373447293773
EPIC 206032309 b,EPIC 206032309,1.01,0.0551,612.1800000000001,0.102,3489.0,-1.73006,0.221,3.361,0.6981347220709844,1.8547342683894434,3.1044561521402767,1.3553556572518641,0.3173185415800872
EPIC 206042996 b,EPIC 206042996,1.7,0.0,569.6,0.102,4114.0,-0.97996,0.565,4.063,1.5107219394949427,1.599387576580599,3.447682571057206,1.8403273864802483,0.4054651081081644
EPIC 206042996 c,EPIC 206042996,1.2,0.114032,1207.4699999999998,0.102,4114.0,-0.97996,0.565,4.246,1.0543120297715298,1.9387416595767009,5.843717550247677,0.30371584181092837,0.4054651081081644
EPIC 206215704 b,EPIC 206215704,1.0,0.048586,453.69,0.102,3297.0,-2.08843,0.407,3.742,0.6790482561804436,1.8468787684491346,2.2137931639986044,1.1803262144629882,0.22314355131420976
EPIC 206317286 b,EPIC 206317286,0.96,0.008,1161.79,0.102,4752.0,-0.59336,0.7109999999999999,8.443999999999999,0.6097655716208943,1.827769906751088,5.537368752390253,0.9487656664153569,0.5122246446796981
EPIC 206317286 c,EPIC 206317286,2.094,0.01,597.7,0.102,4752.0,-0.59336,0.8319999999999999,4.3906,1.7967470107390942,1.3887912413184778,3.3881369789450737,2.918606706884279,0.5641767992629853
EPIC 211822797 b,EPIC 211822797,1.92,0.06,431.0,0.1195,4057.0,-1.15304,0.62,0.79,1.6770965609079151,1.4770487243883548,1.5040773967762742,3.098748877896644,0.4574248470388754
EPIC 211945201 b,EPIC 211945201,5.76,0.0,817.0,0.1493,6069.0,0.37334,1.17,3.99,2.4849066497880004,0.2851789422336624,4.624972813284271,3.0200448139260665,0.8712933659434192
EPIC 212297394 b,EPIC 212297394,1.48,0.0284,1149.0,0.102,5171.0,-0.46654,0.83,5.353,1.332366019094335,1.7457155307266483,5.674307055895158,1.1906939290098086,0.5877866649021191
EPIC 212297394 c,EPIC 212297394,2.27,0.026,866.0,0.102,5171.0,-0.46654,0.83,5.63,1.9125010869241836,1.3110318766193438,4.711056535178214,1.8267991785121225,0.5877866649021191
EPIC 212424622 b,EPIC 212424622,2.17,0.0,791.1,0.102,5782.33,0.17917,1.106,4.816,1.8484548129046003,1.355835153635182,4.363867438509316,2.949599325855781,0.7996220750669508
EPIC 212499991 b,EPIC 212499991,1.6,0.0,531.866,0.102,4982.79,-0.4966,0.912,3.336,1.4327007339340463,1.66392609771817,3.2581351403064134,3.580319380882035,0.5639156730223251
EPIC 212587672 b,EPIC 212587672,1.26,0.0,756.0,0.102,6004.0,0.03848,0.99,4.324,1.1410330045520618,1.9242486522741338,4.3670972945124324,2.7899852709745843,0.6830968447064438
EPIC 212587672 c,EPIC 212587672,2.32,0.0,658.0,0.102,6004.0,0.03848,0.99,4.443,1.9444805562457188,1.2919836816486496,3.9059768098505936,3.187531896236222,0.6830968447064438
EPIC 212624936 b,EPIC 212624936,1.2,0.0073999999999999,1637.8,0.102,5765.0,-0.12371,1.0,1.8541,1.0543120297715298,1.9387416595767009,7.098543206331117,0.45657448558403646,0.6575200029167942
EPIC 212624936 c,EPIC 212624936,2.3,0.0,764.1,0.102,5765.0,-0.12371,1.0,1.3140000000000005,1.9315214116032138,1.297463147413275,4.285288031455362,2.5503382876031115,0.6575200029167942
EPIC 212737443 b,EPIC 212737443,2.586,0.2,536.0,0.098,4684.0,-0.75057,0.69,7.963100000000002,2.1041341542702074,1.1908875647772805,2.6474458369457827,2.6812269870583343,0.514618422004687
EPIC 212737443 c,EPIC 212737443,2.69,0.2,316.0,0.28,4684.0,-0.75057,0.69,5.736,2.1633230256605382,1.1537315878891892,0.963555268314003,4.197953544841121,0.514618422004687
EPIC 220492298 b,EPIC 220492298,0.99,0.0073999999999999,1610.2,0.102,5620.0,-0.0088,0.95,3.651,0.6611403844248589,1.8421356765531218,7.239546754926283,0.5666799209486806,0.636576829071551
EPIC 220554210 c,K2-282,1.6,0.1294,1246.09,0.102,5499.0,-0.21463,0.94,7.297,1.4327007339340463,1.66392609771817,6.116144126155666,0.533746912390376,0.6931471805599453
EPIC 220674823 b,EPIC 220674823,1.676,0.0,2299.0,0.01314,5578.0,-0.11919,0.913,7.5,2.174751721484161,2.3115448343655176,8.446126742982377,0.4519113846607616,0.688134638736401
EPIC 220674823 c,EPIC 220674823,2.84,0.17,804.0,0.1073,5578.0,-0.11919,0.913,7.5,2.1186622548331173,1.000631880307906,4.2626798770413155,2.6630451642912862,0.688134638736401
EPIC 228836835 b,EPIC 228836835,1.1,0.0323,932.0,0.102,3782.0,-1.61153,0.418179,7.028999999999999,0.8628899551470399,1.8961194845522977,4.772396261592948,0.5470300617623195,0.2776317365982795
EPIC 229004835 b,EPIC 229004835,2.332,0.23,804.0,0.1237,5868.0,0.02989,0.97,4.9,2.4336133554004498,1.7029282555214393,4.258445572902527,2.8414809553295255,0.692647055518263
EPIC 246851721 b,EPIC 246851721,11.780659,0.18675,1401.0,0.07229,6202.0,0.52634,1.3169999999999995,3.02,6.861177166421555,1.410986973710262,6.466144724237619,1.9713321123295384,0.9501122803496658
EPIC 249893012 b,EPIC 249893012,1.95,0.06,1616.0,0.047,5430.0,0.35568,1.05,9.0,2.277267285009756,2.0001277349601105,6.945051063725834,1.524990518356481,0.9969486348916093
EPIC 249893012 c,EPIC 249893012,3.67,0.07,990.0,0.13,5430.0,0.35568,1.05,9.0,2.7517480563679295,0.9631743177730056,5.081404364984463,2.8108474343568717,0.9969486348916093
EPIC 249893012 d,EPIC 249893012,3.94,0.15,752.0,0.22,5430.0,0.35568,1.05,9.0,2.414126467726953,0.6471032420585385,3.9889840465642745,3.6040565896736583,0.9969486348916093
G 192-15 b,G 192-15,1.02,0.0,453.6,0.01723,2999.0,-2.67285,0.132,3.148,0.708035793053696,1.8453002361560848,2.086913556518537,1.1862445839591778,0.15761723580170672
G 264-012 b,G 264-012,1.39,0.004876,587.0,0.02279,3326.0,-1.97224,0.297,5.32,1.252762968495368,1.8115620965242347,3.068052935133617,1.1955514440013761,0.26620304077465673
G 264-012 c,G 264-012,1.76,0.061593,387.0,0.0525,3326.0,-1.97224,0.297,6.616,1.55814461804655,1.5644405465033646,1.5830939370944987,2.2029636329624656,0.26620304077465673
G 268-110 b,G 268-110,1.13,0.0,534.0,0.0128299999999999,5549.0,-2.63971,0.137,6.564,0.924258901523332,1.9154509415706047,2.6789646202071133,0.8889729766099168,0.16296882827813966
G 9-40 b,G 9-40,1.9,0.0,440.6,0.0418,3395.0,-1.96019,0.2952,9.9,1.6094379124341003,1.4350845252893227,1.9837562915454279,1.9089494698146379,0.2643622671301641
GJ 1132 b,GJ 1132,1.19151465,0.0118,583.8,0.0157,3229.0,-2.32148,0.1944999999999999,5.0,1.0427641419355338,1.9416152247724325,3.0106208860477417,0.9665765807588593,0.19975209185683904
GJ 1132 c,GJ 1132,1.43,0.27,300.0,0.0476,3270.0,-2.35853,0.181,5.0,1.2919836816486496,1.7850704810772584,0.9250541622995023,2.2954597680514572,0.19103349739597614
GJ 1148 b,GJ 1148,11.9,0.38,558.862,0.166,3287.0,-1.86908,0.3440449999999999,4.034000000000001,4.581901559048737,0.27383666562972786,2.678764481175756,3.746676552840153,0.30639513580044797
GJ 1148 c,GJ 1148,9.71,0.342,332.32700000000006,0.912,3287.0,-1.86908,0.3440449999999999,5.618,4.234975691961846,0.3428802329165431,1.1577743920259183,6.279609012639604,0.30639513580044797
GJ 1151 c,GJ 1151,3.25,0.4028,247.5,0.5714,3280.0,-2.47952,0.1639,2.7741,2.4527277514237653,0.9932517730102834,0.5725139529099248,5.967940002061025,0.16390297126993658
GJ 1214 b,GJ 1214,2.733,0.0062,567.0,0.01505,3101.0,-2.40894,0.182,3.0,2.2417729535972883,1.1817271953786161,2.9014215940827497,0.9479461816037211,0.1957312437038723
GJ 1252 b,GJ 1252,1.193,0.0,1089.0,0.00915,3458.0,-1.70774,0.381,3.9,0.8415671856782186,1.6486586255873816,5.455321115357702,0.4175472244969739,0.33002291294130587
